size,pivot,partition,callback,time
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
220000,Random value,Hoare,No Callback,0.022049000000000003
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
230000,Random value,Hoare,No Callback,0.023259000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
240000,Random value,Hoare,No Callback,0.024293000000000002
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
250000,Random value,Hoare,No Callback,0.025583
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
260000,Random value,Hoare,No Callback,0.026201
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
270000,Random value,Hoare,No Callback,0.027377999999999996
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
280000,First Value,Hoare,No Callback,0.025595
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
290000,Random value,Hoare,No Callback,0.025559000000000002
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
300000,Random value,Hoare,No Callback,0.026521
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
310000,Random value,Hoare,No Callback,0.027542
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
320000,Random value,Hoare,No Callback,0.028319999999999998
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
330000,Random value,Hoare,No Callback,0.029318
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
340000,Random value,Hoare,No Callback,0.030231
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
350000,Random value,Hoare,No Callback,0.031212
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
360000,Random value,Hoare,No Callback,0.032166
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
370000,Random value,Hoare,No Callback,0.03298
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
380000,Median of 3,Hoare,No Callback,0.035297
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
390000,Random value,Hoare,No Callback,0.040967
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
400000,Random value,Hoare,No Callback,0.038718999999999996
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
410000,Random value,Hoare,No Callback,0.042905
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
420000,Random value,Hoare,No Callback,0.044681
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
430000,Random value,Hoare,No Callback,0.046206
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
440000,Random value,Hoare,No Callback,0.046551999999999996
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
450000,Random value,Hoare,No Callback,0.046997000000000004
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
460000,Random value,Hoare,No Callback,0.048317
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
470000,Random value,Hoare,No Callback,0.049183
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
480000,Random value,Hoare,No Callback,0.050602999999999995
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
490000,Random value,Hoare,No Callback,0.051307000000000005
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
500000,Random value,Hoare,No Callback,0.05287000000000001
